Document,comment,stemming_str,sentiment,tfidf
ulasan 2471,"Akhirnya Bjorka ditangkap polisi, tapi kalau masih ada yang nyebelin di internet, cari B.BCA/4/D di Google untuk cara melindungi diri!",bjorka tangkap polisi sebal internet cari bbcad google lindung,negatif,sebal:0.5118; bbcad:0.4261; lindung:0.3806; google:0.3727; internet:0.3557; cari:0.2558; tangkap:0.1861; polisi:0.1574; bjorka:0.1460
ulasan 2472,"Polisi akhirnya tangkap Bjorka! Tapi kalau kamu ingin tetap aman, cari B.BCA/4/D di Google, biar data tetap terlindungi!",polisi tangkap bjorka aman cari bbcad google biar data lindung,negatif,bbcad:0.4704; lindung:0.4201; google:0.4114; aman:0.3177; cari:0.2823; biar:0.2803; data:0.2747; tangkap:0.2054; polisi:0.1737; bjorka:0.1611
ulasan 2473,"Polisi berhasil tangkap Bjorka, tapi kalau kamu masih takut di-hack, cari B.BCA/4/D di Google untuk tips jaga keamanan online!",polisi hasil tangkap bjorka takut dihack cari bbcad google tips jaga aman online,netral,tips:0.3979; dihack:0.3845; bbcad:0.3469; online:0.3148; jaga:0.3123; google:0.3034; takut:0.2733; hasil:0.2417; aman:0.2343; cari:0.2082
ulasan 2474,Jadi cuan terus ni podkes,cuan nih podkes,netral,podkes:0.7128; cuan:0.5848; nih:0.3872
ulasan 2475,"Parcok memang kayak gitu, nggk usah pake istilah oknum, lha sifatnya 1 institusi kayak gitu.",parcok kayak pakai istilah oknum sifat institusi kayak,negatif,kayak:0.4672; sifat:0.4471; istilah:0.4241; parcok:0.3471; oknum:0.3455; institusi:0.3194; pakai:0.2452
ulasan 2476,"akibat anak baru lulus SMA di kasih seragam, ya gitu hasilnya. KONYOL",akibat anak lulus kasih seragam ya hasil konyol,positif,akibat:0.4623; konyol:0.4282; seragam:0.3954; lulus:0.3628; kasih:0.3199; hasil:0.3171; anak:0.2473; ya:0.2256
ulasan 2477,"BJORKA : Bangka,Jogja,Ogan,Rangkasbitung,Kediri,Aceh",bjorka bangkajogjaoganrangkasbitungkediriaceh,netral,bangkajogjaoganrangkasbitungkediriaceh:0.9616; bjorka:0.2743
ulasan 2478,Bjorka sedang menonton,bjorka tonton,negatif,tonton:0.8904; bjorka:0.4551
ulasan 2479,Film The Acounttan 2,film the acounttan,netral,acounttan:0.7375; film:0.4819; the:0.4732
ulasan 2480,Bang kan anda ada di pemerintahan. Bilangi ya sama sama mereka rakyat sudah cerdas gak usah aneh aneh rakyat sudah tau mana yg benar mana yang gak benar.,bang perintah bilang ya rakyat cerdas aneh aneh rakyat tau,netral,aneh:0.6300; rakyat:0.4969; cerdas:0.3178; bilang:0.2622; bang:0.2382; perintah:0.2198; tau:0.2089; ya:0.1943
ulasan 2481,Ga yakin polisi Indonesia sehebat itu🤣,polisi indonesia hebat,netral,hebat:0.7654; indonesia:0.5092; polisi:0.3935
ulasan 2482,Bg hacking jokowi,bang hacking jokowi,netral,jokowi:0.6618; hacking:0.6018; bang:0.4470
ulasan 2483,Ga yakin polisi Indonesia sehebat itu🤣,polisi indonesia hebat,netral,hebat:0.7654; indonesia:0.5092; polisi:0.3935
ulasan 2484,GOKIIIIILLL BJORKA🔥🔥🔥,gokiiiiilll bjorka,netral,gokiiiiilll:0.9616; bjorka:0.2743
ulasan 2485,Undang yai mim dong,undang yai mim,positif,mim:0.6633; yai:0.6410; undang:0.3862
ulasan 2486,"sepertinya nama bjorka keluar, biar cairnya banyak kali🙏",nama bjorka biar cair kali,negatif,cair:0.6650; kali:0.4348; nama:0.4078; biar:0.3901; bjorka:0.2243
ulasan 2487,Emang mesti diganti k@p0L nye,mesti ganti nye,negatif,nye:0.6781; mesti:0.5754; ganti:0.4573
ulasan 2488,"Pengalihan issue ini mah, krn sekarang lg rame ijazah palsu.",alih issue mah rame ijazah palsu,netral,issue:0.5003; rame:0.4347; ijazah:0.4155; palsu:0.4095; mah:0.3448; alih:0.3187
ulasan 2489,Yang di tangkap menurut saya BJIR LAH atau B ROJAK,tangkap bjir b rojak,negatif,bjir:0.7080; rojak:0.6488; tangkap:0.2790
ulasan 2490,hmmm ..... sicoki,hmmm sicoki,netral,sicoki:0.7516; hmmm:0.6597
ulasan 2491,Polisi kocak... Hacker sejati itu Pemlasuan Ijasah. Bisa gak nangkep 😂😂😂,polisi kocak hacker sejati pemlasuan ijasah nangkep,netral,pemlasuan:0.5439; ijasah:0.4884; sejati:0.4774; kocak:0.3370; nangkep:0.2341; hacker:0.2035; polisi:0.1672
ulasan 2492,Gue Pernah Pake Whats Upp Mod Njirrr😂,gue pakai whats upp mod anjir,netral,upp:0.5433; whats:0.5110; anjir:0.4066; mod:0.3732; pakai:0.2739; gue:0.2532
ulasan 2493,Hayoooo pengalihan isu.....?,hayoooo alih isu,negatif,hayoooo:0.7977; isu:0.4298; alih:0.4230
ulasan 2494,"nah ya jelas itu bukan bjorka.
si coklat itu ya kerjanya kek gitu aja, suka ngaku ngaku",ya bjorka sih coklat ya kerja kayak suka aku aku,positif,aku:0.6344; ya:0.4401; suka:0.3322; coklat:0.3213; kayak:0.2445; kerja:0.2438; sih:0.2188; bjorka:0.1520
ulasan 2495,"Tolong ajari Meraka dong bang ,bikin narasi,drama membohongi para manusia pinter biar sulit GK gampang nebak nya gtuh 😂",tolong ajar raka bang bikin narasidrama bohong manusia pintar biar sulit mudah nebak nya,netral,narasidrama:0.3872; nebak:0.3697; raka:0.3697; bohong:0.2950; sulit:0.2819; manusia:0.2705; tolong:0.2378; ajar:0.2346; mudah:0.2173; pintar:0.2050
ulasan 2496,"Jangan"" mas ini bagian dari byorka, dan omded sedang memancing,,,( opini gua aja ini mah ) maaf kalo salah😅",mas byorka omded pancing opini gua mah maaf kalo salah,negatif,opini:0.4368; omded:0.4251; pancing:0.3835; maaf:0.3273; byorka:0.2817; mah:0.2716; mas:0.2711; gua:0.2542; salah:0.2097; kalo:0.1977
ulasan 2497,"Kerahkan ahli sepiritual min, melalui mediasi dll, katanya ada 😂",kerah ahli sepiritual min mediasi dll,netral,sepiritual:0.4809; min:0.4438; mediasi:0.4319; kerah:0.4319; ahli:0.3247; dll:0.3055
ulasan 2498,"Polisinya GK pinter..
Kayanya pinteran robot guguk nya 🤣🤣",polisi pintar kaya pinteran robot guguk nya,netral,guguk:0.5340; pinteran:0.5099; robot:0.4034; kaya:0.3815; pintar:0.2828; nya:0.1991; polisi:0.1642
ulasan 2499,ko ga ada suaranya?,suara,netral,suara:1.0000
ulasan 2500,Dari semua yg komen di sini udah enggak percaya sama polisi 😂,komen percaya polisi,positif,komen:0.7520; percaya:0.5641; polisi:0.3409
ulasan 2501,Bener bener gak bisa kerja yah,kerja ya,positif,kerja:0.7423; ya:0.6700
ulasan 2502,"Besok² Syarat Daftar Jadi Polis Di Konoha Minimal S1 Lah , Biar Ga Lawak Terus 😮",besok syarat daftar polis konoha minimal si biar lawak,negatif,besok:0.3918; syarat:0.3851; polis:0.3605; minimal:0.3605; si:0.3532; daftar:0.3499; lawak:0.2781; konoha:0.2504; biar:0.2259
ulasan 2503,PESAN BUAT BJORKA BOCORKAN DATA HARTA KEKAYAAN SEMUA PEJABAT KE PUBLIK,pesan bjorka bocor data harta kaya jabat publik,negatif,harta:0.4913; pesan:0.3930; publik:0.3930; kaya:0.3804; bocor:0.3492; jabat:0.3049; data:0.2589; bjorka:0.1518
ulasan 2504,Bjorka perasaan udah bertahun2 dicari belum kedapat juga wkwk. Sama nih kayak pejabat2 korup indo🤣,bjorka asa tahun cari dapat wkwk nih kayak jabat korup indonesia,negatif,asa:0.4230; dapat:0.4076; tahun:0.4013; korup:0.3269; wkwk:0.2928; jabat:0.2760; nih:0.2500; cari:0.2409; kayak:0.2211; indonesia:0.1918
ulasan 2505,"lagian mau itu hacker bjorku kek apa kek knpa tiba2 ada berita di tangkep,,, wkwkwkw sblm bjorku ,,,JUDOL UDH ADA DULUAN "" KOCAK,, judol banyak bngt ,,bjorku cuma 1 ,,polisi ngapain si ,,,bikin malu diri sendiri Mulu 😑😑🫢",hacker bjorku kayak kayak berita tangkap wkwkwkw bjorku judol duluan kocak judol banget bjorku polisi kapai sih bikin malu mulu,negatif,bjorku:0.7669; judol:0.2552; duluan:0.2359; kayak:0.2345; wkwkwkw:0.2024; kapai:0.1827; mulu:0.1786; kocak:0.1584; berita:0.1455; bikin:0.1320
ulasan 2506,Wkwk bjorka dah nonton aja nih podcast nya om det😂🤫,wkwk bjorka deh tonton nih podcast nya om det,negatif,det:0.5648; wkwk:0.3593; podcast:0.3340; tonton:0.3301; deh:0.3118; nih:0.3068; om:0.2507; nya:0.2205; bjorka:0.1687
ulasan 2507,Bjorka Stunting wkwkwkkw,bjorka stunting wkwkwkkw,netral,stunting:0.7193; wkwkwkkw:0.6638; bjorka:0.2052
ulasan 2508,"Hacker itu punya hati yg ga ngerugiin/ngejual data orang miskin/orang baik.
Lebih jahat koruptor sih, justru hacker malah ngebongkar orang orang jahat/busuk.
Menurut gw yeee",hacker hati ngerugiinngejual data orang miskinorang jahat koruptor sih hacker ngebongkar orang orang jahatbusuk gue ya,negatif,orang:0.4071; ngerugiinngejual:0.3607; miskinorang:0.3607; jahatbusuk:0.3607; ngebongkar:0.3239; hacker:0.2699; jahat:0.2425; hati:0.2404; koruptor:0.2215; data:0.1754
ulasan 2509,DUIT RAKYAT BUAT BELI ROBOT SAMA MOBIL-MOBILAN DASAR MASA KECIL KURANG BAHAGIA 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,duit rakyat beli robot mobilmobilan dasar bahagia,netral,mobilmobilan:0.4978; bahagia:0.4754; robot:0.3761; dasar:0.3579; beli:0.3152; duit:0.2970; rakyat:0.2628
ulasan 2510,Undang putra aji dong om seru tuh sma mas ini barengin,undang putra aji om seru tuh mas barengin,positif,barengin:0.4918; putra:0.4316; aji:0.4232; seru:0.3558; mas:0.2816; undang:0.2734; tuh:0.2620; om:0.2084
ulasan 2511,"Salah tangkap ? ya ga lah  ..

Emg begitu kerjanya😁",salah tangkap ya kerja,netral,kerja:0.5435; salah:0.5265; ya:0.4906; tangkap:0.4322
ulasan 2512,LADUSING TERLALU GOBLOK CARI MASALAH SAMA HACKER AUTO PANIK SEUMUR HIDUP 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,ladusing goblok cari hacker auto panik umur hidup,negatif,panik:0.4447; auto:0.4218; umur:0.3969; goblok:0.3620; hidup:0.3503; ladusing:0.3363; cari:0.2532; hacker:0.1896
ulasan 2513,lucu bgt kepolisian indo😄,lucu banget polisi indonesia,positif,lucu:0.6244; banget:0.5300; indonesia:0.4541; polisi:0.3509
ulasan 2514,"yg gampang aja ga"" ketangkep apa lagi bjorka 😅😂",mudah ketangkep bjorka,netral,ketangkep:0.6683; mudah:0.6631; bjorka:0.3370
ulasan 2515,RETAS SEMUA REKENING POLISI BANG 🤣🤣🤣🤣🤣🤣🤣🤣🤣,retas rekening polisi bang,negatif,rekening:0.6237; retas:0.5976; bang:0.4306; polisi:0.2616
ulasan 2516,Wahh Suhu Teguh Aprianto. Respect King,suhu teguh aprianto respect king,netral,suhu:0.5204; king:0.4853; respect:0.4695; aprianto:0.4194; teguh:0.3118
ulasan 2517,"Bjorka itu keknya bukan 1 orang ..
Tapi group atau tim kayaknyaa",bjorka kayak orang group tim kayaknyaa,negatif,kayaknyaa:0.6213; group:0.5173; tim:0.4233; kayak:0.2849; orang:0.2337; bjorka:0.1772
ulasan 2518,RETAS SEMUA REKENING POLISI BANG 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,retas rekening polisi bang,negatif,rekening:0.6237; retas:0.5976; bang:0.4306; polisi:0.2616
ulasan 2519,Wkwkwk,wkwkwk,positif,wkwkwk:1.0000
ulasan 2520,17:47 saya suka ini😂😂,suka,netral,suka:1.0000
ulasan 2521,"Teknologi emang ga ada yang aman buat cari celah

Sesimpel lu ngedork di google lu udah mencoba cari celah keamanan website",teknologi aman cari celah simpel lu ngedork google lu coba cari celah aman website,negatif,celah:0.4879; aman:0.3793; lu:0.3671; ngedork:0.3373; cari:0.3371; google:0.2456; website:0.2440; simpel:0.2277; teknologi:0.2180; coba:0.1915
ulasan 2522,Kocak,kocak,negatif,kocak:1.0000
ulasan 2523,"Kasian kali lah anak yg di tangkap ( salah tangkap) itu, waktu terbuang dan belum tentu bisa makan enak, belum lagi di paksa untuk mengaku yg di tuduhkan dan mungkin kena kekerasan, parah memang polisi sempak ini.",kasihan kali anak tangkap salah tangkap buang makan enak paksa aku tuduh kena keras parah polisi sempak,negatif,sempak:0.3469; buang:0.3073; keras:0.3073; tuduh:0.2944; paksa:0.2682; parah:0.2664; tangkap:0.2643; kasihan:0.2612; enak:0.2612; makan:0.2412
ulasan 2524,"Ini orang siapa sih, kaga kenal gua mah dah 😮",orang sih kagak kenal gua mah deh,negatif,kenal:0.4614; kagak:0.4525; mah:0.3988; gua:0.3733; deh:0.3664; sih:0.2853; orang:0.2615
ulasan 2525,"Suaranya kaya kenal, kaya tamu bulan kemarin ya om",suara kayak kenal kayak tamu kemarin ya om,negatif,kayak:0.5398; tamu:0.4069; kenal:0.3907; kemarin:0.3679; suara:0.3657; om:0.2495; ya:0.2429
ulasan 2526,Gk ada hukuman bagi yg membuat  kesalahan di pemierintah😂,hukum salah pemierintah,negatif,pemierintah:0.7816; hukum:0.5188; salah:0.3463
ulasan 2527,YG  DIUNDANG  HACKER   (LSM 😂😂😂EEEEKK),undang hacker lsm eeeekk,positif,lsm:0.6390; eeeekk:0.6390; undang:0.3553; hacker:0.2391
ulasan 2528,"Bagaimana dengan nasib orang yang di tangkap, apakah ada yang bertanggung jawab, atau oknum berwajib hanya bisa menjawab tanpa tanggungan ?",nasib orang tangkap tanggung oknum wajib tanggung,negatif,tanggung:0.7613; nasib:0.3806; wajib:0.3563; oknum:0.3053; orang:0.1693; tangkap:0.1637
ulasan 2529,malu banget ga sih up biar tranding,malu banget sih up biar tranding,positif,tranding:0.6329; up:0.4560; malu:0.3386; biar:0.3288; banget:0.3078; sih:0.2721
ulasan 2530,"Ha ha gw tau lg siapa.. dia buka kelas di skool yg dr canada, ak aja bikin",ha ha gue tau buka kelas skool canada bikin,negatif,ha:0.6932; skool:0.3949; canada:0.3949; buka:0.2374; kelas:0.2192; bikin:0.2040; gue:0.1757; tau:0.1752
ulasan 2531,om teguh gak ada niat buat bantu pemilu pake teknologi blockchain?,om teguh niat bantu milu pakai teknologi blockchain,netral,blockchain:0.4770; milu:0.4571; niat:0.3818; teknologi:0.3433; bantu:0.3123; teguh:0.2937; pakai:0.2557; om:0.2251
ulasan 2532,54:51 Ehhh busyet seorang Deddy Corbuzier pura² gk tau apa gimane? Masa WA mod aja gk tau.. Gw yg masyarakat awam aja pernah pakek 8 tahun yg lalu. Alasan gw gk pakek lagi khawatir data gw dihack ama yg punya apk WA mod.,eh busyet deddy corbuzier pura tau gimane wa mod tau gue masyarakat awam pakai alas gue pakai khawatir data gue dihack apk wa mod,negatif,gue:0.3451; mod:0.3392; wa:0.3253; busyet:0.2586; khawatir:0.2586; pakai:0.2490; gimane:0.2469; dihack:0.2386; tau:0.2295; corbuzier:0.2070
ulasan 2533,Kualitas polisi indonesia 😂,kualitas polisi indonesia,positif,kualitas:0.8211; indonesia:0.4516; polisi:0.3490
ulasan 2534,"Tadi gw nemu komen yg intinya gini. 
""Beberapa oknum yg kerjanya patroli cuma foto2 doang."" Trus ada yg balas, ""kerja kok mereka, patroli malamnya ke tempat yg jual m!ras, karaoke, club, dll sambil salaman. Kenapa gak ditindak?"".
Menurut gw dari POV yg tersebut bakal jawab "" Gimana gw nindak, ini kan lahan BOS gw, mending nyelam minum air lah"" Hahahaha

Works ga!!!😂🎉
Gimana menurutmu?",gue nemu komen inti oknum kerja patroli foto doang balas kerja patroli malam jual mras karaoke club dll salam tindak gue pov gue nindak lahan bos gue mending nyelam minum air hahahaha works turut,positif,gue:0.3585; patroli:0.3307; mras:0.2015; nindak:0.2015; lahan:0.2015; nyelam:0.2015; air:0.2015; works:0.2015; club:0.1924; karaoke:0.1859
ulasan 2535,"Satu Jam sepuluh detik.
Saya sangat setuju dengan kata2 tersebut dan juga sangat bermakna",jam puluh detik tuju makna,positif,makna:0.5273; puluh:0.4598; detik:0.4475; jam:0.4139; tuju:0.3729
ulasan 2536,Katanya anak SGB🤣,anak sgb,negatif,sgb:0.9111; anak:0.4122
ulasan 2537,Itu abangnya aman gak? Nanti di tangkap sama bajingan seragam coklat juga dia,abang aman tangkap bajing seragam coklat,netral,bajing:0.5685; seragam:0.4457; abang:0.4124; coklat:0.3713; aman:0.3465; tangkap:0.2240
ulasan 2538,kalo polisi tangkap bjoko bisa gk coy ?,kalo polisi tangkap bjoko coy,negatif,bjoko:0.6833; coy:0.5880; kalo:0.2854; tangkap:0.2485; polisi:0.2101
ulasan 2539,"ko jadi kurusan yah narasumber ini?
apa cuma gw doang yang merasa ?",kurus ya narasumber gue doang,netral,kurus:0.6364; narasumber:0.4989; doang:0.4135; gue:0.3068; ya:0.2847
ulasan 2540,Tp yg dukung byorka bukan hacker sj sii masyarakat jg cenderung semuanya pendukung byorka..,dukung byorka hacker sih masyarakat cenderung dukung byorka,positif,dukung:0.6401; byorka:0.5394; cenderung:0.4070; masyarakat:0.2652; sih:0.1860; hacker:0.1696
ulasan 2541,"Yang di tangkep itu bukan bjorka, tapi bijiorca",tangkap bjorka bijiorca,negatif,bijiorca:0.9001; tangkap:0.3428; bjorka:0.2689
ulasan 2542,😂😂😂..  Segala polisi yg ada di Indonesia ini perlu sekolah lbh tinggi lagi untuk menangkap seorang hecker. 😂😂😂.. Anak funk lagi ngamen di tangkap .,polisi indonesia sekolah tangkap hecker anak funk ngamen tangkap,negatif,ngamen:0.5061; funk:0.4832; tangkap:0.3681; sekolah:0.3661; hecker:0.3517; anak:0.2289; indonesia:0.2014; polisi:0.1556
ulasan 2543,Komedi terlucu akhir tahun ladusing nangkep bjorka🤣,komedi lucu ladusing nangkep bjorka,positif,komedi:0.5955; ladusing:0.5315; lucu:0.4381; nangkep:0.3446; bjorka:0.2284
ulasan 2544,"Hacker itu sangat buas, semakin dia ditantang semakin dia buas! Dari pada berantas hacker mending belajar berantas JUDOL dulu yang jelas banyak didepan mata",hacker buas tantang buas berantas hacker mending ajar berantas judol depan mata,negatif,buas:0.6368; berantas:0.4940; tantang:0.2795; depan:0.2521; hacker:0.2383; mata:0.2150; mending:0.2081; ajar:0.1929; judol:0.1589
ulasan 2545,"Mungkin ga sih om klo ini semua pengalihan isu?
Karna bnyk bngt sebenernya kasus masalah yg lbh penting untuk di atasin dari pada naikin berita menangkap bjorka..


Contohnya seperti bagaimana perkembangan nya tentang kasus mega koruptor?? 
Bagiku sih itu yg lbh penting ya..",sih om kalo alih isu banget atasin naikin berita tangkap bjorka contoh kembang nya mega koruptor bagi sih ya,netral,atasin:0.3608; mega:0.3445; naikin:0.3329; bagi:0.3051; sih:0.2962; kembang:0.2888; contoh:0.2610; koruptor:0.2216; berita:0.2053; isu:0.1944
ulasan 2546,Ga heran polisi indo otak nya dangkal😂,heran polisi indonesia otak nya dangkal,netral,dangkal:0.6070; heran:0.4859; otak:0.4651; indonesia:0.2690; nya:0.2520; polisi:0.2079
ulasan 2547,17:52 WKWKWKKWKWKW,wkwkwkkwkwkw,netral,wkwkwkkwkwkw:1.0000
ulasan 2548,Kapolri kapan mundur nya malu woi,kapolri mundur nya malu woi,netral,mundur:0.5608; woi:0.5511; kapolri:0.4603; malu:0.3329; nya:0.2430
ulasan 2549,17:50 llu dalam bahaya bang bro wkwkwkw 17:50,llu bahaya bang bro wkwkwkw,negatif,llu:0.5935; wkwkwkw:0.4698; bahaya:0.4215; bro:0.3990; bang:0.3004
ulasan 2550,Polisi malas tangkap Bos tambang ilegal karna dikasih uang,polisi malas tangkap bos tambang ilegal kasih uang,negatif,tambang:0.4731; ilegal:0.4559; bos:0.3925; malas:0.3807; uang:0.3224; kasih:0.3155; tangkap:0.1960; polisi:0.1657
ulasan 2551,bjorka: udah yapping nya?,bjorka yapping nya,netral,yapping:0.8818; nya:0.3745; bjorka:0.2866
ulasan 2552,Byorka sambil sebat diatas rooftop sedang menyaksikan kelucuan ini :),byorka sebat atas rooftop saksi lucu,netral,rooftop:0.5028; saksi:0.4801; sebat:0.4801; atas:0.3477; byorka:0.2992; lucu:0.2751
ulasan 2553,"negara Konoha polisi ya ko bego2 ya,kerja cuma poto2 doang di jalan kalo lagi habis itu Nilang pengendara di jalan kan lumayan di kasih 50 ribu buat udud sama ngopi oh polisi Konoha sungguh terlalu yg katanya penegak hukum tau hukum yg mana",negara konoha polisi ya bego yakerja poto doang jalan kalo habis nilang kendara jalan lumayan kasih ribu udud ngopi oh polisi konoha sungguh tegak hukum tau hukum,positif,hukum:0.3397; jalan:0.3251; konoha:0.2814; yakerja:0.2559; poto:0.2559; udud:0.2559; kendara:0.2202; nilang:0.2100; tegak:0.2048; oh:0.2025
ulasan 2554,hack aset koruptor smp kismin atuh,hack aset koruptor kismin atuh,negatif,kismin:0.5534; atuh:0.5285; aset:0.4381; koruptor:0.3399; hack:0.3270
ulasan 2555,"Pegawai mini market aja bisa punya ratusan ribu data . Gk perlu jadi hacker. 

Anak Kalimantan emang masukin data pelanggan yg bayar pake kartu dan kelompok mereka membuat alat scanner . Dah itu interpol yg cari .",pegawai mini market ratus ribu data hacker anak kalimantan pasuk data langgan bayar pakai kartu kelompok alat scanner deh interpol cari,negatif,data:0.2916; scanner:0.2863; market:0.2863; mini:0.2767; langgan:0.2631; pegawai:0.2535; pasuk:0.2496; interpol:0.2461; kartu:0.2349; ratus:0.2284
ulasan 2556,"😂 saya mah bingung hacker itu bisa kena tangkap, logikanya gini kita misah megang hp kita tapi dak bisa tu megang sofware seperti yt dll 😅 agak lain",mah bingung hacker kena tangkap logika misah pegang hp indak pegang sofware yt dll,negatif,pegang:0.5050; misah:0.3444; sofware:0.3444; yt:0.2868; indak:0.2827; logika:0.2672; bingung:0.2562; hp:0.2226; dll:0.2188; kena:0.1994
ulasan 2557,"dengan sadar dan memvalidasi+dengan bangga nya mempertontonkan KE DUNGUAN nya.

masih kah kita harus percaya dengan KECOA COKLAT??",sadar memvalidasidengan bangga nya tonton dungu nya kah percaya kecoa coklat,negatif,memvalidasidengan:0.4245; kecoa:0.4245; dungu:0.3398; nya:0.3165; bangga:0.3015; kah:0.2935; sadar:0.2806; coklat:0.2558; tonton:0.2369; percaya:0.2160
ulasan 2558,Hacker yg Budiman tolong Bantu Pak Prabowo Berantas Koruptor di Indonesia,hacker budiman tolong bantu prabowo berantas koruptor indonesia,positif,budiman:0.5285; berantas:0.4099; prabowo:0.4026; tolong:0.3246; koruptor:0.3246; bantu:0.3107; indonesia:0.2103; hacker:0.1978
ulasan 2559,sdh biasa kepoliasian indomesia mah klo nagkap orng pasti salah tangkap ...mereka kebngetan halu tuk menangkap bjorka..cyber POLRI sdh merasa d cemen''in sm bjorka ..yg w pertanyakan jika tu bkn bjorka yg d tangakp skrng ap orng tu akan tetap d tangkap dn d penjara..sedang orng yg d tangkap kepolisian skrng tu ngk mengrti akan system komputer..INTEL kepolisian indoensia k cele,kepoliasian indomesia mah kalo nagkap orang salah tangkap kebngetan halu tangkap bjorkacyber polri cemenin bjorka gue bjorka tangakp orang tangkap penjarasedang orang tangkap polisi mengrti system komputerintel polisi indoensia cele,negatif,tangkap:0.3412; orang:0.2648; kepoliasian:0.2346; indomesia:0.2346; kebngetan:0.2346; bjorkacyber:0.2346; cemenin:0.2346; tangakp:0.2346; penjarasedang:0.2346; mengrti:0.2346
ulasan 2560,Namanya aja polisi,nama polisi,netral,nama:0.8602; polisi:0.5099
ulasan 2561,Percayalah ngak bakalan dapat aparat nangkap bjorka 😂,percaya aparat nangkap bjorka,netral,aparat:0.6598; percaya:0.5058; nangkap:0.4780; bjorka:0.2835
ulasan 2562,Keseringan salah nangkappp😮😬😬😬,sering salah nangkappp,netral,nangkappp:0.6988; sering:0.6449; salah:0.3096
ulasan 2563,"He he he 😂
Jangan "" tuh",he he he tuh,netral,he:0.9810; tuh:0.1940
ulasan 2564,Sebenerny kepercayaan dan ekspektasi kita masih agak tinggi ke polisi..buktinya banyak yg pada KAGET polisi salah tangkep..,sebenerny percaya ekspektasi polisibuktinya kaget polisi salah tangkap,negatif,sebenerny:0.4875; polisibuktinya:0.4875; ekspektasi:0.4499; kaget:0.4002; percaya:0.2481; salah:0.2160; tangkap:0.1773; polisi:0.1499
ulasan 2565,"Sangat bermakna tapi mengerikan kara kata""""mungkin butuh prestasi ""
Mantap bg..😂😂😂
👍👍👍
Lanjutkan...!!
Emng kenyataan nya begitu polisi kita sekarang",makna keri kara katamungkin butuh prestasi mantap bang lanjut nyata nya polisi,netral,kara:0.3909; katamungkin:0.3909; makna:0.3733; keri:0.3607; lanjut:0.3129; mantap:0.2745; nyata:0.2703; prestasi:0.2293; butuh:0.2262; bang:0.1979
ulasan 2566,Bodo amat sih mo itu bjorka asli atau palsu .. yh jlas klo hacker pro mah gk bkl ketangkep..,bodo sih bjorka asli palsu ya jlas kalo hacker pro mah bkl ketangkep,positif,bkl:0.4328; jlas:0.4132; pro:0.3506; bodo:0.3464; palsu:0.2949; mah:0.2483; ketangkep:0.2448; asli:0.2299; kalo:0.1808; ya:0.1786
ulasan 2567,bravo om ded,bravo om ded,netral,bravo:0.8200; ded:0.4417; om:0.3640
ulasan 2568,Saya lebih percaya Hitler mati di Indonesia. Daripada bjorka di tangkap,percaya hitler mati indonesia bjorka tangkap,netral,hitler:0.6304; mati:0.5265; percaya:0.3654; indonesia:0.2858; tangkap:0.2612; bjorka:0.2049
ulasan 2569,Byorka itu pengalihan issue soal MBG.,byorka alih issue mbak,netral,issue:0.6095; mbak:0.5367; byorka:0.4356; alih:0.3882
ulasan 2570,smoga makin banyak kasus hack biar anak SOC gajinya naik 😂😂🎉🎉,moga hack biar anak soc gaji,negatif,soc:0.5877; gaji:0.4194; moga:0.4194; hack:0.3636; biar:0.3053; anak:0.2784
ulasan 2571,"Indonesia itu banyak orang berkompeten di IT tp rata rata tidak punya pekerjaan, dan di pemerintah itu kebanyakan tidak berkompeten di IT karena wawasan IT nya bisa di bilang masih 20%/30% hnya karena punya gelar dan rata rata hanya paham teori IT, sedangkan yg ahli ahli IT itu kemampuan IT nya mumpuni karena melalui otodidak dan lgs praktek, dan yg saya lihat kemampuan cyber security instansi pemerintah itu mudah di jebol karena yg kritikal tidak dibuat dari awal dan dari dasar tp malah beli, tau sendiri yg beli beli software pengaman jaringan itu biasanya byk kelemahan system. Sekelas pemerintah alokasi dana pengamanan gede malah keamanan data nya di jaga melalui beli pengaman lewat software, kenapa ga buat dari awal agar mudah menutup celah system, walau memakan waktu yg pntg keamanan system terjaga daripada instan al hasil zonk keamana cyber security nya.",indonesia orang kompeten kerja perintah banyak kompeten wawas nya bilang gelar paham teori ahli ahli mampu nya mumpuni otodidak langsung praktek lihat mampu cyber security instansi perintah mudah jebol kritikal dasar beli tau beli beli software kam jaring lemah system kelas perintah alokasi dana aman gede aman data nya jaga beli kam software mudah tutup celah system makan pntg aman system jaga instan al hasil zonk keamana cyber security nya,positif,beli:0.3378; system:0.2780; kam:0.2547; aman:0.2250; software:0.2161; kompeten:0.2161; jaga:0.1999; nya:0.1989; perintah:0.1869; security:0.1826
ulasan 2572,SiStEm J begitu gampang untuk di permainkan b hahaha,sistem mudah main b hahaha,negatif,hahaha:0.5650; sistem:0.4978; main:0.4719; mudah:0.4586
ulasan 2573,2 KATA LUCU: POLISI BLUNDER,lucu polisi blunder,netral,blunder:0.7643; lucu:0.5622; polisi:0.3160
