comment,case_folding,cleansing
gua curiga malah bjorka itu orang di pemerintahan😂,gua curiga malah bjorka itu orang di pemerintahan😂,gua curiga malah bjorka itu orang di pemerintahan
Hahahah tahunan hp saya dibajak biasa ajah. Sampe baru main sama istri aja kena. Nasib nasib. Om gue dipanggil situ dong. Hahahahaha. Tapi mbahas halu.,hahahah tahunan hp saya dibajak biasa ajah. sampe baru main sama istri aja kena. nasib nasib. om gue dipanggil situ dong. hahahahaha. tapi mbahas halu.,hahahah tahunan hp saya dibajak biasa ajah sampe baru main sama istri aja kena nasib nasib om gue dipanggil situ dong hahahahaha tapi mbahas halu
Lumayan kan proyek penangkapan sudah cair. Salah tangkap lain hal,lumayan kan proyek penangkapan sudah cair. salah tangkap lain hal,lumayan kan proyek penangkapan sudah cair salah tangkap lain hal
😅😅😅😂😂 butuh validasi 😅😅😅,😅😅😅😂😂 butuh validasi 😅😅😅,butuh validasi
Jng jng bintang tamu nya yg byorka...😅,jng jng bintang tamu nya yg byorka...😅,jng jng bintang tamu nya yg byorka
Byorka    😅 ?,byorka    😅 ?,byorka
ge malah dukung brojka darpada polisi..,ge malah dukung brojka darpada polisi..,ge malah dukung brojka darpada polisi
gua tau ni suara siapa wkwkwk,gua tau ni suara siapa wkwkwk,gua tau ni suara siapa wkwkwk
"Kalau benar itu anak punk berarti benar polisi harus di reformasi,payah betul😂","kalau benar itu anak punk berarti benar polisi harus di reformasi,payah betul😂",kalau benar itu anak punk berarti benar polisi harus di reformasipayah betul
Bulls yit,bulls yit,bulls yit
diam-diam om ded recruit personal hacker...kalau diliat dari senyum tertarik sepertinya.,diam-diam om ded recruit personal hacker...kalau diliat dari senyum tertarik sepertinya.,diamdiam om ded recruit personal hackerkalau diliat dari senyum tertarik sepertinya
Masa Sekelas yg dikatakan cyber tdk bisa membedakan akun . 🤣🤣🤣,masa sekelas yg dikatakan cyber tdk bisa membedakan akun . 🤣🤣🤣,masa sekelas yg dikatakan cyber tdk bisa membedakan akun
Gw sampe berfikir jgn² anak cyber di polda itu...... 😂😂😂,gw sampe berfikir jgn² anak cyber di polda itu...... 😂😂😂,gw sampe berfikir jgn anak cyber di polda itu
cuma korban yang pengen naik pangkat,cuma korban yang pengen naik pangkat,cuma korban yang pengen naik pangkat
Polri makin jelek sama kelihatan ga bermutunya awokwok,polri makin jelek sama kelihatan ga bermutunya awokwok,polri makin jelek sama kelihatan ga bermutunya awokwok
polri kena outplay bjorka,polri kena outplay bjorka,polri kena outplay bjorka
"Bjorka Ketawa Lihat Ini
😂😂😂🤣🤣🤣😅😅😅","bjorka ketawa lihat ini
😂😂😂🤣🤣🤣😅😅😅",bjorka ketawa lihat ini
"Kalo udah ada bang teguh, Sudah di pastikan ada instansi yg gak beres.","kalo udah ada bang teguh, sudah di pastikan ada instansi yg gak beres.",kalo udah ada bang teguh sudah di pastikan ada instansi yg gak beres
Puncak komedi indo padahal bjorka itu anak buah sambo😂,puncak komedi indo padahal bjorka itu anak buah sambo😂,puncak komedi indo padahal bjorka itu anak buah sambo
Bangga ya bisa nangkep bJorka...ndak taunya Bjorka palsu...😂,bangga ya bisa nangkep bjorka...ndak taunya bjorka palsu...😂,bangga ya bisa nangkep bjorkandak taunya bjorka palsu
Bjorka itu akun anak buah sambo ga perlu repot2 dicari❤,bjorka itu akun anak buah sambo ga perlu repot2 dicari❤,bjorka itu akun anak buah sambo ga perlu repot dicari
Gen boomer gaptek bikin gebrakan. bukan presisi malah blunder 😔,gen boomer gaptek bikin gebrakan. bukan presisi malah blunder 😔,gen boomer gaptek bikin gebrakan bukan presisi malah blunder
Waduhh jgn terlalu jujur dah bang. Pengen ngakak terus.,waduhh jgn terlalu jujur dah bang. pengen ngakak terus.,waduhh jgn terlalu jujur dah bang pengen ngakak terus
terorin aja bobrokan sistem keamanan siber polri. biar tau bahwa anak bangsa ini lebih dijagoin ketimbar tim saber yang katanya tukang rekayasa kasus wkwkwkwkwkwkwkwkwk,terorin aja bobrokan sistem keamanan siber polri. biar tau bahwa anak bangsa ini lebih dijagoin ketimbar tim saber yang katanya tukang rekayasa kasus wkwkwkwkwkwkwkwkwk,terorin aja bobrokan sistem keamanan siber polri biar tau bahwa anak bangsa ini lebih dijagoin ketimbar tim saber yang katanya tukang rekayasa kasus wkwkwkwkwkwkwkwkwk
"Pas sekolah pernah praktek ngeremot hp orang,eh sekarang malah lupa segala gala nya efek kerja nya ga sesuai jurusan😂😂😂","pas sekolah pernah praktek ngeremot hp orang,eh sekarang malah lupa segala gala nya efek kerja nya ga sesuai jurusan😂😂😂",pas sekolah pernah praktek ngeremot hp orangeh sekarang malah lupa segala gala nya efek kerja nya ga sesuai jurusan
Dating app sekarang aja bisa berubah jadi kalkulator by default jir 😂,dating app sekarang aja bisa berubah jadi kalkulator by default jir 😂,dating app sekarang aja bisa berubah jadi kalkulator by default jir
"Puncak komedi adalah bjorka di cari mati Matian sedangkan judol bertebaran dimana2 malah di komentar ini pun di kuasai judol pdahal judol dampaknya luar biasa, udh banyak kasus kriminal mengerikan berawal dari judol","puncak komedi adalah bjorka di cari mati matian sedangkan judol bertebaran dimana2 malah di komentar ini pun di kuasai judol pdahal judol dampaknya luar biasa, udh banyak kasus kriminal mengerikan berawal dari judol",puncak komedi adalah bjorka di cari mati matian sedangkan judol bertebaran dimana malah di komentar ini pun di kuasai judol pdahal judol dampaknya luar biasa udh banyak kasus kriminal mengerikan berawal dari judol
"Boro² Tangkep Bjorka, Orang Maling Udah Ketangkep warga aja Suruh di lepasin😂😂🤦‍♂️","boro² tangkep bjorka, orang maling udah ketangkep warga aja suruh di lepasin😂😂🤦‍♂️",boro tangkep bjorka orang maling udah ketangkep warga aja suruh di lepasin
"Saya punya teman, dia membantu instansi pemerintah daerah agar website mereka tidak di hack tapi tidak di apresiasi malhan di tantang, truss di sikat temenku lalu di laporkan ke polisi dan di tangkap 3bulan penjara 😂😂 kocakk kan negara ini 😂","saya punya teman, dia membantu instansi pemerintah daerah agar website mereka tidak di hack tapi tidak di apresiasi malhan di tantang, truss di sikat temenku lalu di laporkan ke polisi dan di tangkap 3bulan penjara 😂😂 kocakk kan negara ini 😂",saya punya teman dia membantu instansi pemerintah daerah agar website mereka tidak di hack tapi tidak di apresiasi malhan di tantang truss di sikat temenku lalu di laporkan ke polisi dan di tangkap bulan penjara kocakk kan negara ini
Uhui😂,uhui😂,uhui
wah respect sih mas teguh info tentang RAIDFORUMS sama Breachforumnya valid semua... Omnipotent sama Pompompurin,wah respect sih mas teguh info tentang raidforums sama breachforumnya valid semua... omnipotent sama pompompurin,wah respect sih mas teguh info tentang raidforums sama breachforumnya valid semua omnipotent sama pompompurin
Pengalihan isu demi.. Huuuu,pengalihan isu demi.. huuuu,pengalihan isu demi huuuu
Coba ada pertanyaan masalah ijasah yg sampai skrng masih d ributin😂,coba ada pertanyaan masalah ijasah yg sampai skrng masih d ributin😂,coba ada pertanyaan masalah ijasah yg sampai skrng masih d ributin
Emang om ded pikir mereka bisa kerja ? 😂,emang om ded pikir mereka bisa kerja ? 😂,emang om ded pikir mereka bisa kerja
46:37 jawabannya korupsi lebih enak,46:37 jawabannya korupsi lebih enak,jawabannya korupsi lebih enak
"Bjorka itu team, Bukan individu.,","bjorka itu team, bukan individu.,",bjorka itu team bukan individu
"Aparat Kita emang Super Konyol,,,
Ngadepin KABIB BAKLAWI saja Plonga-Polongo
Malah berahir jadi Jongos/Piara,an KABIB Imigran","aparat kita emang super konyol,,,
ngadepin kabib baklawi saja plonga-polongo
malah berahir jadi jongos/piara,an kabib imigran",aparat kita emang super konyol ngadepin kabib baklawi saja plongapolongo malah berahir jadi jongospiaraan kabib imigran
Hmmmm wkkkkk,hmmmm wkkkkk,hmmmm wkkkkk
😂😅 ladusing konoha . .udah di bantu heker di kasih ngerti penylewengan eh malah di tangkep . 😂. .emang bobrok sistem di negri ini suatu kesalahan di lindungu dan kebenaran di hakimi 😢,😂😅 ladusing konoha . .udah di bantu heker di kasih ngerti penylewengan eh malah di tangkep . 😂. .emang bobrok sistem di negri ini suatu kesalahan di lindungu dan kebenaran di hakimi 😢,ladusing konoha udah di bantu heker di kasih ngerti penylewengan eh malah di tangkep emang bobrok sistem di negri ini suatu kesalahan di lindungu dan kebenaran di hakimi
"Selama dulu main hack kecil""an python banyak yg gratis sekarang cek lagi dah berbayar","selama dulu main hack kecil""an python banyak yg gratis sekarang cek lagi dah berbayar",selama dulu main hack kecilan python banyak yg gratis sekarang cek lagi dah berbayar
kalo bisa brantas judol baru gw yakin bjorka bisa ditangkap,kalo bisa brantas judol baru gw yakin bjorka bisa ditangkap,kalo bisa brantas judol baru gw yakin bjorka bisa ditangkap
Mengharapkan Indonesia maju dan membaik ? udah capek meskipun hati masih menginginkan adanya kemajuan tapi harapan udah semakin tipis.,mengharapkan indonesia maju dan membaik ? udah capek meskipun hati masih menginginkan adanya kemajuan tapi harapan udah semakin tipis.,mengharapkan indonesia maju dan membaik udah capek meskipun hati masih menginginkan adanya kemajuan tapi harapan udah semakin tipis
7:47 kaget anjirr kirain suara apaan😂,7:47 kaget anjirr kirain suara apaan😂,kaget anjirr kirain suara apaan
Sesimple mod tuyul atau fake gps di aplikasi ojol,sesimple mod tuyul atau fake gps di aplikasi ojol,sesimple mod tuyul atau fake gps di aplikasi ojol
Yg ditangkap Bjordan wkak,yg ditangkap bjordan wkak,yg ditangkap bjordan wkak
Polisi itu udah bobrok di dalemnya,polisi itu udah bobrok di dalemnya,polisi itu udah bobrok di dalemnya
"anagaran banyak nagkap haceker aja puyeng😂😂😂 
polisii ocg polisii","anagaran banyak nagkap haceker aja puyeng😂😂😂 
polisii ocg polisii",anagaran banyak nagkap haceker aja puyeng polisii ocg polisii
Harusnya sih jadi point penting bagi pemerintahan. Kita berdoa saja. Semoga menjadi lebih baik lagi,harusnya sih jadi point penting bagi pemerintahan. kita berdoa saja. semoga menjadi lebih baik lagi,harusnya sih jadi point penting bagi pemerintahan kita berdoa saja semoga menjadi lebih baik lagi
GBWA,gbwa,gbwa
Supir puso itu mah,supir puso itu mah,supir puso itu mah
"guoblok,nangkap koruptor aja ga becus..sok²an nangkep hacker lu","guoblok,nangkap koruptor aja ga becus..sok²an nangkep hacker lu",guobloknangkap koruptor aja ga becussokan nangkep hacker lu
hi,hi,hi
"don't trust anyone, one eye all seeing the world","don't trust anyone, one eye all seeing the world",dont trust anyone one eye all seeing the world
"Lebih percaya Lucuflix gratis 1 tahun, daripada Bjorka ketangkep, Chakz 🤣","lebih percaya lucuflix gratis 1 tahun, daripada bjorka ketangkep, chakz 🤣",lebih percaya lucuflix gratis tahun daripada bjorka ketangkep chakz
"Gw pernah ngomong dlu pas beliau di undang pertama kali di acara closethedoor . 
Gw udh ngomong kalau BJORKA itu aslinya orng Indonesia cuma dia berbicara pakek bhsa English . 
Kalau memahami pasti tau BJORKA itu orng Indonesia . 
Cuma gw malah di hujat sok tau 😅😅😅



Salam XSVS","gw pernah ngomong dlu pas beliau di undang pertama kali di acara closethedoor . 
gw udh ngomong kalau bjorka itu aslinya orng indonesia cuma dia berbicara pakek bhsa english . 
kalau memahami pasti tau bjorka itu orng indonesia . 
cuma gw malah di hujat sok tau 😅😅😅



salam xsvs",gw pernah ngomong dlu pas beliau di undang pertama kali di acara closethedoor gw udh ngomong kalau bjorka itu aslinya orng indonesia cuma dia berbicara pakek bhsa english kalau memahami pasti tau bjorka itu orng indonesia cuma gw malah di hujat sok tau salam xsvs
😂😂😂 bjorka ketawa sih,😂😂😂 bjorka ketawa sih,bjorka ketawa sih
"Bukanya di kadalin bang .itu dugaan seakan polisi mngngkap djorka ,djorka saat era moelyono kan sdh ada TPI pastinya yg di tangkap betul betul djorka nggk kita kan TDK tau hanya taunya viral djorka di tangkap ,lah ini batu bbrpa hari  permintaan masyrkat ke polisi spy djorka di tangkap E....klu GK salah -+  tau tau djorka di tangkap .cepat bnget kan bang  , TPI nangkep korup atau yg katanya SDH ad pejabat yg inkrah di nyatakan bersalah sbgai trsangka smpai Skrang pun blum di tangkap .menurut kita sihhh agak lucu banget bang .","bukanya di kadalin bang .itu dugaan seakan polisi mngngkap djorka ,djorka saat era moelyono kan sdh ada tpi pastinya yg di tangkap betul betul djorka nggk kita kan tdk tau hanya taunya viral djorka di tangkap ,lah ini batu bbrpa hari  permintaan masyrkat ke polisi spy djorka di tangkap e....klu gk salah -+  tau tau djorka di tangkap .cepat bnget kan bang  , tpi nangkep korup atau yg katanya sdh ad pejabat yg inkrah di nyatakan bersalah sbgai trsangka smpai skrang pun blum di tangkap .menurut kita sihhh agak lucu banget bang .",bukanya di kadalin bang itu dugaan seakan polisi mngngkap djorka djorka saat era moelyono kan sdh ada tpi pastinya yg di tangkap betul betul djorka nggk kita kan tdk tau hanya taunya viral djorka di tangkap lah ini batu bbrpa hari permintaan masyrkat ke polisi spy djorka di tangkap eklu gk salah tau tau djorka di tangkap cepat bnget kan bang tpi nangkep korup atau yg katanya sdh ad pejabat yg inkrah di nyatakan bersalah sbgai trsangka smpai skrang pun blum di tangkap menurut kita sihhh agak lucu banget bang
Nah iy yg orang Kalimantan yg digrebek dirumahnya,nah iy yg orang kalimantan yg digrebek dirumahnya,nah iy yg orang kalimantan yg digrebek dirumahnya
Funfact yang ditangkap bukan bjorka tapi bjirlah 🗿,funfact yang ditangkap bukan bjorka tapi bjirlah 🗿,funfact yang ditangkap bukan bjorka tapi bjirlah
BJIRKA,bjirka,bjirka
"Kita belajar aja dari film hacker, semisal anonymous nih,dia tuh ngg sendirian,tapi ada anonymous² yg lain seperti halnya bjorka","kita belajar aja dari film hacker, semisal anonymous nih,dia tuh ngg sendirian,tapi ada anonymous² yg lain seperti halnya bjorka",kita belajar aja dari film hacker semisal anonymous nihdia tuh ngg sendiriantapi ada anonymous yg lain seperti halnya bjorka
kalian dari awal pada ngira bjorka itu individu kah? kalo gua sih yakin kalo bjorka itu gak cuma individu tapi kelompok ato semacem komunitas gitu sih,kalian dari awal pada ngira bjorka itu individu kah? kalo gua sih yakin kalo bjorka itu gak cuma individu tapi kelompok ato semacem komunitas gitu sih,kalian dari awal pada ngira bjorka itu individu kah kalo gua sih yakin kalo bjorka itu gak cuma individu tapi kelompok ato semacem komunitas gitu sih
cyber security pemerintah isinya youtube green screen ala2 heker doank,cyber security pemerintah isinya youtube green screen ala2 heker doank,cyber security pemerintah isinya youtube green screen ala heker doank
"jangankan mo nangkap Bjorka, nangkap Siplester aja susah 😂😂","jangankan mo nangkap bjorka, nangkap siplester aja susah 😂😂",jangankan mo nangkap bjorka nangkap siplester aja susah
"TANGKAP PARA HACKER JANGAN DI PUBLIKASI .....BLOG, HARUSNYA DIRAHASIAKAN LALU DIBINA DAN DIPASILITASI SEBAGAI PAHLAWAN BANGSA BUKAN HANYA JANJI SEMU DAN CARI NAMA BISA NANGKEP YG GAK GUNA BAGI RAKYAT....OM DEDY BISA JADI BPKNYA PARA HACKER INDO KAYAKNYA SESUAI JABATAN","tangkap para hacker jangan di publikasi .....blog, harusnya dirahasiakan lalu dibina dan dipasilitasi sebagai pahlawan bangsa bukan hanya janji semu dan cari nama bisa nangkep yg gak guna bagi rakyat....om dedy bisa jadi bpknya para hacker indo kayaknya sesuai jabatan",tangkap para hacker jangan di publikasi blog harusnya dirahasiakan lalu dibina dan dipasilitasi sebagai pahlawan bangsa bukan hanya janji semu dan cari nama bisa nangkep yg gak guna bagi rakyatom dedy bisa jadi bpknya para hacker indo kayaknya sesuai jabatan
Hahaha.. .ky yg SDH sdh polisi klo pnya lisensi propesional yg di akui ....TDK bnyk kasus salah tangkap dan rekayasa jg kali...Cma buat kepentingan  naik pangkat. ..doang.😂😂😂,hahaha.. .ky yg sdh sdh polisi klo pnya lisensi propesional yg di akui ....tdk bnyk kasus salah tangkap dan rekayasa jg kali...cma buat kepentingan  naik pangkat. ..doang.😂😂😂,hahaha ky yg sdh sdh polisi klo pnya lisensi propesional yg di akui tdk bnyk kasus salah tangkap dan rekayasa jg kalicma buat kepentingan naik pangkat doang
"Blunder lagi dah polri, cukup nangkep pelaku curangi situs judol aj udh mlah d tmbah ini lgi🤣","blunder lagi dah polri, cukup nangkep pelaku curangi situs judol aj udh mlah d tmbah ini lgi🤣",blunder lagi dah polri cukup nangkep pelaku curangi situs judol aj udh mlah d tmbah ini lgi
"No hp saat mncalonkan walkot SuLu sm no req/nope nya bububaba sama tapi dolo,,, gk tau ya sekarang 😂 ringkas kosong gk padat apalagi berbobot sikat donkkk. Sipepesan kosong","no hp saat mncalonkan walkot sulu sm no req/nope nya bububaba sama tapi dolo,,, gk tau ya sekarang 😂 ringkas kosong gk padat apalagi berbobot sikat donkkk. sipepesan kosong",no hp saat mncalonkan walkot sulu sm no reqnope nya bububaba sama tapi dolo gk tau ya sekarang ringkas kosong gk padat apalagi berbobot sikat donkkk sipepesan kosong
pengalihan isu...,pengalihan isu...,pengalihan isu
Hanya tuhan yg tau😅😅😂😂,hanya tuhan yg tau😅😅😂😂,hanya tuhan yg tau
"Apapun yg sudah dilakukan kepolisian sejak 10 THN belakangan sampai saat ini, rakyat sdh tdk terlalu percaya lagi kepolisian akibat ulah oknumnya sendiri yg kebanyakan tdk berintegritas, korup ,arogan dan selalu mengkriminalisasi atas pesanan pemodal dan penguasa 👋🏼👋🏼","apapun yg sudah dilakukan kepolisian sejak 10 thn belakangan sampai saat ini, rakyat sdh tdk terlalu percaya lagi kepolisian akibat ulah oknumnya sendiri yg kebanyakan tdk berintegritas, korup ,arogan dan selalu mengkriminalisasi atas pesanan pemodal dan penguasa 👋🏼👋🏼",apapun yg sudah dilakukan kepolisian sejak thn belakangan sampai saat ini rakyat sdh tdk terlalu percaya lagi kepolisian akibat ulah oknumnya sendiri yg kebanyakan tdk berintegritas korup arogan dan selalu mengkriminalisasi atas pesanan pemodal dan penguasa
"Lu cari muka hecker dari yg amatir ampe yg internasional, gw jamin lu ga bakal nemu hecker yg muka nya kek modelan sempak supermen kek ditangkep itu🤣🙌🏃‍♂️‍➡️","lu cari muka hecker dari yg amatir ampe yg internasional, gw jamin lu ga bakal nemu hecker yg muka nya kek modelan sempak supermen kek ditangkep itu🤣🙌🏃‍♂️‍➡️",lu cari muka hecker dari yg amatir ampe yg internasional gw jamin lu ga bakal nemu hecker yg muka nya kek modelan sempak supermen kek ditangkep itu
Bjorka asli lagi ketawak lht itu😂😂😂,bjorka asli lagi ketawak lht itu😂😂😂,bjorka asli lagi ketawak lht itu
Om YouTube mu ada bug hunternya🙃,om youtube mu ada bug hunternya🙃,om youtube mu ada bug hunternya
Fealing gw byorka ini pejuang islam.,fealing gw byorka ini pejuang islam.,fealing gw byorka ini pejuang islam
Makanya belajar IT bisanya Nilang motor doang sih 🙂,makanya belajar it bisanya nilang motor doang sih 🙂,makanya belajar it bisanya nilang motor doang sih
"masih percaya dengan police india ,,,, hadeh, 
banyak manipulasinya. yang penting selesai, ngak perduli siapa jadi kambing hitamnya,
dari gudang2 timbun minyak solar di sekitar aja banyak di backing. kasus2 narkoboy aja bisa lepas di jalan, belum lagi banyak lapas yang napinya bisa cari duit dari dalam, 
yang penting ada uang aku suka ,,,, police india sudah PENYAKIT AKUT.","masih percaya dengan police india ,,,, hadeh, 
banyak manipulasinya. yang penting selesai, ngak perduli siapa jadi kambing hitamnya,
dari gudang2 timbun minyak solar di sekitar aja banyak di backing. kasus2 narkoboy aja bisa lepas di jalan, belum lagi banyak lapas yang napinya bisa cari duit dari dalam, 
yang penting ada uang aku suka ,,,, police india sudah penyakit akut.",masih percaya dengan police india hadeh banyak manipulasinya yang penting selesai ngak perduli siapa jadi kambing hitamnya dari gudang timbun minyak solar di sekitar aja banyak di backing kasus narkoboy aja bisa lepas di jalan belum lagi banyak lapas yang napinya bisa cari duit dari dalam yang penting ada uang aku suka police india sudah penyakit akut
"Bank Brjorka Data-Data Koruptor Dunk di publish, Klo BGN mah Gampang itu tim Pusdatinnya Baru itu mah.","bank brjorka data-data koruptor dunk di publish, klo bgn mah gampang itu tim pusdatinnya baru itu mah.",bank brjorka datadata koruptor dunk di publish klo bgn mah gampang itu tim pusdatinnya baru itu mah
GAK HERAN POLISI ISINYA ORANG DUNGU SMUA... 😂,gak heran polisi isinya orang dungu smua... 😂,gak heran polisi isinya orang dungu smua
"Pemerintah kita terlalu ""Lugu"" Terkait Hacking, sdm indo di sektor hacking ini luar biasa. Gini kalo negara di kelola sama orang orang yang gapaham sebuah sistem😮","pemerintah kita terlalu ""lugu"" terkait hacking, sdm indo di sektor hacking ini luar biasa. gini kalo negara di kelola sama orang orang yang gapaham sebuah sistem😮",pemerintah kita terlalu lugu terkait hacking sdm indo di sektor hacking ini luar biasa gini kalo negara di kelola sama orang orang yang gapaham sebuah sistem
"Tebak berapa kali si abang nya bilang "" se simple "" 😅","tebak berapa kali si abang nya bilang "" se simple "" 😅",tebak berapa kali si abang nya bilang se simple
bjorkanya org dalam mungkin 😃🙏,bjorkanya org dalam mungkin 😃🙏,bjorkanya org dalam mungkin
"""Hacking"" itu tidak seberbahaya yg kalian semua bayangkan. Kecuali ketika udah bisa ""hack"" suatu website kemudian dilanjutkan dengan ""crack"" dan dibarengi dengan niat ""jahat"" baru itu berbahaya. Wkwkwkwkwk....","""hacking"" itu tidak seberbahaya yg kalian semua bayangkan. kecuali ketika udah bisa ""hack"" suatu website kemudian dilanjutkan dengan ""crack"" dan dibarengi dengan niat ""jahat"" baru itu berbahaya. wkwkwkwkwk....",hacking itu tidak seberbahaya yg kalian semua bayangkan kecuali ketika udah bisa hack suatu website kemudian dilanjutkan dengan crack dan dibarengi dengan niat jahat baru itu berbahaya wkwkwkwkwk
Temen gw jago IT bisa bikin cheat sendiri buat game jadul PB.. jaman dlu soal hack fb atau email bisa bgt.. malah jadi tukang sate,temen gw jago it bisa bikin cheat sendiri buat game jadul pb.. jaman dlu soal hack fb atau email bisa bgt.. malah jadi tukang sate,temen gw jago it bisa bikin cheat sendiri buat game jadul pb jaman dlu soal hack fb atau email bisa bgt malah jadi tukang sate
mantap,mantap,mantap
"Dunia hacker & cracker sejatinya itu tidak sesederhana itu, Bapak-bapak pemangku kebijakan dan aparat penegak hukum.
anak-anak programming lainnya — baik individu maupun di komunitas tahu betul bagaimana dunia cyber bekerja.

Kami cukup paham pula kapasitas karakteristik tim cyber pemerintah yang, jujur saja, sering lebih fokus mengejar nilai proyek daripada mutu dan integritas.

Jadi kalau tracing hacker segampang itu, mungkin bug [Masalah]  sistem di negara ini juga sudah fix dari dulu. 😅

Seprofesi Paham betul Etika di dunia Digital — Ethical Hacking adalah prinsip. Kami tidak mencampuri urusan masing-masing, tapi kami tahu siapa yang benar-benar paham teknologi… dan siapa yang cuma main headline atau proyek IT setengah matang.","dunia hacker & cracker sejatinya itu tidak sesederhana itu, bapak-bapak pemangku kebijakan dan aparat penegak hukum.
anak-anak programming lainnya — baik individu maupun di komunitas tahu betul bagaimana dunia cyber bekerja.

kami cukup paham pula kapasitas karakteristik tim cyber pemerintah yang, jujur saja, sering lebih fokus mengejar nilai proyek daripada mutu dan integritas.

jadi kalau tracing hacker segampang itu, mungkin bug [masalah]  sistem di negara ini juga sudah fix dari dulu. 😅

seprofesi paham betul etika di dunia digital — ethical hacking adalah prinsip. kami tidak mencampuri urusan masing-masing, tapi kami tahu siapa yang benar-benar paham teknologi… dan siapa yang cuma main headline atau proyek it setengah matang.",dunia hacker cracker sejatinya itu tidak sesederhana itu bapakbapak pemangku kebijakan dan aparat penegak hukum anakanak programming lainnya baik individu maupun di komunitas tahu betul bagaimana dunia cyber bekerja kami cukup paham pula kapasitas karakteristik tim cyber pemerintah yang jujur saja sering lebih fokus mengejar nilai proyek daripada mutu dan integritas jadi kalau tracing hacker segampang itu mungkin bug masalah sistem di negara ini juga sudah fix dari dulu seprofesi paham betul etika di dunia digital ethical hacking adalah prinsip kami tidak mencampuri urusan masingmasing tapi kami tahu siapa yang benarbenar paham teknologi dan siapa yang cuma main headline atau proyek it setengah matang
Ayo Coklat. Kerahkan semua kemampuan kalian untum merekayasa kasus ini.,ayo coklat. kerahkan semua kemampuan kalian untum merekayasa kasus ini.,ayo coklat kerahkan semua kemampuan kalian untum merekayasa kasus ini
Lawak jangankan nangkep  bjorka nangkep pupupapa aja gk bisa 😂,lawak jangankan nangkep  bjorka nangkep pupupapa aja gk bisa 😂,lawak jangankan nangkep bjorka nangkep pupupapa aja gk bisa
pak pol itu hekel bukan heker..berasa GeGe ya pak...😂😂,pak pol itu hekel bukan heker..berasa gege ya pak...😂😂,pak pol itu hekel bukan hekerberasa gege ya pak
Dikulik abissss,dikulik abissss,dikulik abissss
Sin7ax masih hidup 😂,sin7ax masih hidup 😂,sinax masih hidup
Roy Rikardo is in d' house,roy rikardo is in d' house,roy rikardo is in d house
"Polisi Indonesia jangankan nangkap bjorka, nangkap koruptor yang sudah didalam gedung DPR saja tidak bisa..😂😂😂","polisi indonesia jangankan nangkap bjorka, nangkap koruptor yang sudah didalam gedung dpr saja tidak bisa..😂😂😂",polisi indonesia jangankan nangkap bjorka nangkap koruptor yang sudah didalam gedung dpr saja tidak bisa
Institusi satu ini memang melawak terus.,institusi satu ini memang melawak terus.,institusi satu ini memang melawak terus
Siapa disini yang sambil kepo komentar 😂 kita sama,siapa disini yang sambil kepo komentar 😂 kita sama,siapa disini yang sambil kepo komentar kita sama
Lulusan sma kok suruh nyari orang It yg sekolahnya tinggi ya dongo jadinya 😂😂😂,lulusan sma kok suruh nyari orang it yg sekolahnya tinggi ya dongo jadinya 😂😂😂,lulusan sma kok suruh nyari orang it yg sekolahnya tinggi ya dongo jadinya
"di menit 26 itu intiny....
semoga penerintah kita bisa menghargai skill dan inovasi anak bangsa","di menit 26 itu intiny....
semoga penerintah kita bisa menghargai skill dan inovasi anak bangsa",di menit itu intiny semoga penerintah kita bisa menghargai skill dan inovasi anak bangsa
"Dari dulu Indonesia gak kekurangan orang pintar, tapi kekurangan orang jujur","dari dulu indonesia gak kekurangan orang pintar, tapi kekurangan orang jujur",dari dulu indonesia gak kekurangan orang pintar tapi kekurangan orang jujur
"nangkep dalang demo rusuh aja gabisa, sok sok an mau nangkep hacker, kocak puncak komedi😂","nangkep dalang demo rusuh aja gabisa, sok sok an mau nangkep hacker, kocak puncak komedi😂",nangkep dalang demo rusuh aja gabisa sok sok an mau nangkep hacker kocak puncak komedi
TONTON INI PAK .. ANDA SALAH TANGKAP 😀,tonton ini pak .. anda salah tangkap 😀,tonton ini pak anda salah tangkap
Jackpot tuh bocah 😅😅😅 mayan jd pemeran utama yg d cari2 😅😅,jackpot tuh bocah 😅😅😅 mayan jd pemeran utama yg d cari2 😅😅,jackpot tuh bocah mayan jd pemeran utama yg d cari
Hahaha..,hahaha..,hahaha
KLO loe tau ko loe g tangkap😂😂,klo loe tau ko loe g tangkap😂😂,klo loe tau ko loe g tangkap
Jangan dibantuin bg teguh. Biar dia benar dulu😅,jangan dibantuin bg teguh. biar dia benar dulu😅,jangan dibantuin bg teguh biar dia benar dulu
Nangkap maling saja susah soalnya kegenduten.. masih ngaku nangkap hantu,nangkap maling saja susah soalnya kegenduten.. masih ngaku nangkap hantu,nangkap maling saja susah soalnya kegenduten masih ngaku nangkap hantu
